datetime,portfolio_value,cash,positions,return
2022-01-03 08:30:00-05:00,100000.0,100000.0,[],
2022-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-12 09:30:00-05:00,100000.0,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0
2022-02-13 09:30:00-05:00,100000.0,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0
2022-02-14 09:30:00-05:00,100000.0,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0
2022-02-15 09:30:00-05:00,98519.5615234375,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",-0.014804384765624956
2022-02-16 09:30:00-05:00,99113.92114257812,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.006032909707979428
2022-02-17 09:30:00-05:00,99145.11828613281,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0003147604614472943
2022-02-18 09:30:00-05:00,99034.35961914062,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",-0.0011171368687314942
2022-02-19 09:30:00-05:00,98115.51733398438,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",-0.009278015112026416
2022-02-20 09:30:00-05:00,98115.51733398438,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0
2022-02-21 09:30:00-05:00,98115.51733398438,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0
2022-02-22 09:30:00-05:00,98115.51733398438,29892.039428710934,"[{'asset': SPY, 'quantity': 156.0}]",0.0
2022-02-23 09:30:00-05:00,97266.88171386719,97266.88171386719,[],-0.0086493517353472
2022-02-24 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-02-25 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-02-26 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-02-27 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-02-28 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-01 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-02 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-03 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-04 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-05 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-06 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-07 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-08 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-09 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-10 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-11 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-12 09:30:00-05:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-13 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-14 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-15 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-16 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-17 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-18 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-19 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-20 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-21 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-22 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-23 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-24 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-25 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-26 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-27 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-28 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-29 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-30 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-03-31 10:30:00-04:00,97266.88171386719,97266.88171386719,[],0.0
2022-04-01 10:30:00-04:00,97266.88171386719,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",0.0
2022-04-02 10:30:00-04:00,96589.03918457031,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",-0.006968893392623632
2022-04-03 10:30:00-04:00,96589.03918457031,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",0.0
2022-04-04 10:30:00-04:00,96589.03918457031,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",0.0
2022-04-05 10:30:00-04:00,96562.40026855469,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",-0.0002757964696669113
2022-04-06 10:30:00-04:00,96871.7197265625,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",0.0032033116114300597
2022-04-07 10:30:00-04:00,95638.88171386719,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",-0.012726500739072444
2022-04-08 10:30:00-04:00,95446.47900390625,29499.15954589844,"[{'asset': SPY, 'quantity': 148.0}]",-0.002011762439219744
2022-04-09 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.003690452768214003
2022-04-10 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-11 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-12 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-13 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-14 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-15 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-16 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-17 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-18 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-19 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-20 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-21 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-22 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-23 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-24 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-25 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-26 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-27 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-28 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-29 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-04-30 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
