datetime,portfolio_value,cash,positions,return
2020-01-02 08:30:00-05:00,100000.0,100000.0,[],
2020-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 09:30:00-05:00,100000.0,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-08 09:30:00-05:00,100731.61985778809,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.007316198577880906
2020-01-09 09:30:00-05:00,100699.0,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",-0.00032382937784714017
2020-01-10 09:30:00-05:00,101500.52056884766,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.007959568306017406
2020-01-11 09:30:00-05:00,101712.55142211914,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0020889632100720146
2020-01-12 09:30:00-05:00,101712.55142211914,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-13 09:30:00-05:00,101712.55142211914,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-14 09:30:00-05:00,101591.39042663574,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",-0.0011912098732098642
2020-01-15 09:30:00-05:00,101943.21914672852,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0034631745723261442
2020-01-16 09:30:00-05:00,101794.09928894043,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",-0.0014627736796642976
2020-01-17 09:30:00-05:00,102043.4109954834,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0024491764088927503
2020-01-18 09:30:00-05:00,102511.73971557617,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.004589504756103313
2020-01-19 09:30:00-05:00,102511.73971557617,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-20 09:30:00-05:00,102511.73971557617,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-21 09:30:00-05:00,102511.73971557617,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-22 09:30:00-05:00,102390.57872009277,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",-0.001181923122362094
2020-01-23 09:30:00-05:00,102775.03085327148,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.003754760818665659
2020-01-24 09:30:00-05:00,102618.92127990723,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",-0.0015189445536351043
2020-01-25 09:30:00-05:00,103061.61985778809,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.004314005374051133
2020-01-26 09:30:00-05:00,103061.61985778809,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-27 09:30:00-05:00,103061.61985778809,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.0
2020-01-28 09:30:00-05:00,101204.60957336426,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",-0.018018446507887864
2020-01-29 09:30:00-05:00,101663.61985778809,50487.5,"[{'asset': QQQ, 'quantity': 233.0}]",0.004535468160579148
2020-01-30 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.006967275379922366
2020-01-31 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-01 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-02 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-03 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-04 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-05 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-06 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-07 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-08 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-09 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-10 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-11 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-12 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-13 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-14 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
2020-02-15 09:30:00-05:00,102371.93829345703,102371.93829345703,[],0.0
